,,Regular Tax Calc,,Step 1 - Tax With Bonus,Step 2 - Tax Without Bonus,
LCP,Provincial or territorial labour-sponsored funds tax credit (NOTE = Zero for ON),0.0000,,0.0000,0.0000,
,,,,,,
S Calcs,,0.0000,,0.0000,0.0000,
,T4+V1,"3,106.9333",,"3,286.1347","3,195.9317",
,[2*(S2 + Y)] - [T4+v1] (NOTE: Assume's Y is unsupported in Humi),"-2,558.9333",,"-2,738.1347","-2,647.9317",
,,,,,,
Option 1 - Step 6 - Formulas to calculate the estimated federal and provincial or territorial tax deductions (T) for the pay period,,,,,,
T Calcs,estimated federal and provincial or territorial tax deductions (T) for the pay period,422.7428,,444.9951,433.7647,
T1,,"7,284.3797",,"7,683.7391","7,481.9494",
T2,,"3,706.9333",,"3,886.1347","3,795.9317",
P,,26.0000,,26.0000,26.0000,
L,Additional tax deductions for the pay period requested by the employee or pensioner as shown on Form TD1,0.0000,,0.0000,0.0000,
T1 Monthly,,280.1685,,,,
T2 Monthly,,142.5744,,,,
,,,,,,
,PDOC Representation,,,,,
Calculate CPP,Salary or Wages income,"2,516.6600",,201.2300,,
Calculate EI,Cash income,"2,516.6600",,57.3200,,
,Federal tax deduction,280.1700,,,,
,Provincial tax deduction,142.5700,,,,
,Total tax deductions on income ,422.7400,,,,
,Total current bonus payable,"1,000.0000",,,,
,Federal tax deduction on bonus,201.7900,,,,
,Provincial tax deduction on bonus ,90.2000,,,,
,Total tax deductions on bonus,291.9900,,,,
,CPP deductions ,201.2300,,,,
,EI deductions,57.0500,,,,
,Total deductions on income and bonus ,973.0100,,,,
,Net amount,"2,543.6500",,,,
